Force X (N),Force Y (N),Force Z (N),Torque X (N-m),Torque Y (N-m),Torque Z (N-m),Frequency = 1000,Averaging Level = 16,F/T Serial Number = FT18766,Time Started = 2020-02-27 11:16:52 AM
0.018106513,-57.52012253,-51.31369781,6.311808586,-0.151506543,-0.36599791,,,,
0.011068526,-57.01844406,-52.55042267,6.35764122,-0.119526528,-0.327645957,,,,
-0.069106989,-56.85684586,-53.52459717,6.364803314,-0.106524289,-0.320290923,,,,
-0.437418759,-56.81996536,-53.46707153,6.341863155,-0.109362938,-0.350593358,,,,
-0.364068806,-56.91832352,-52.92133713,6.375232697,-0.032651715,-0.330328166,,,,
-0.303992391,-57.05951691,-52.56686401,6.397923946,0.046150658,-0.328792721,,,,
-0.217002138,-56.99471283,-53.75278854,6.445687771,0.008211203,-0.328313649,,,,
-0.083909698,-57.59034348,-53.15878677,6.40364027,-0.169320196,-0.348962724,,,,
0.210592613,-58.0835228,-49.99925232,6.299633026,-0.302133173,-0.413593769,,,,
0.321358651,-58.35020447,-48.31339645,6.244229317,-0.284911901,-0.369140208,,,,
0.107813135,-58.18187714,-49.18741226,6.2933321,-0.348906934,-0.38466081,,,,
0.237942204,-57.77904892,-50.84105682,6.297016621,-0.358934194,-0.419047862,,,,
0.323447496,-57.42273712,-51.28708267,6.328418255,-0.399191141,-0.404552519,,,,
0.371280909,-57.52722931,-50.95192337,6.317547798,-0.369776785,-0.407571703,,,,
-0.063880384,-57.32667923,-51.71617889,6.316701412,-0.391986817,-0.424757034,,,,
-0.181942254,-57.17293549,-52.25369263,6.347788334,-0.429753572,-0.423553258,,,,
-0.192086518,-57.4062767,-51.5292778,6.344762325,-0.329664588,-0.40734309,,,,
-0.233025715,-57.18315506,-52.26573563,6.359356403,-0.252838165,-0.35937956,,,,
-0.583605945,-57.17269516,-53.0329361,6.37092495,-0.258954555,-0.336842358,,,,
-0.811674654,-57.51298141,-52.58229828,6.372727871,-0.219183356,-0.351106554,,,,
